"id","t","n1","e1","h1","v1","ψ1","n2","e2","h2","v2","ψ2"
1,32,-2223.101903867134,291.5056853150823,2321.684449086789,280.548,10.078443999999998,70.77737399383457,-830.8126331121267,1685.3174490867889,109.64963999999988,264.12803199999996
1,33,-1946.883015556585,242.4108175131946,2321.684449086789,280.548,10.078443999999998,59.5595726764083,-721.7383259370071,1685.3174490867889,108.19240999999988,264.44265299999995
1,34,-1670.6641272460363,193.31594971130687,2321.684449086789,280.548,9.307562999999998,49.082004346468,-614.0544453257498,1685.3174490867889,106.73517999999989,264.75727399999994
1,35,-1393.8097166645616,147.94177593828823,2321.684449086789,280.548,8.536681999999999,39.32905643253384,-507.76578809168495,1685.3174490867889,105.27794999999989,265.071895
1,36,-1116.3698995713617,106.29650975722396,2321.684449086789,280.548,7.765801,30.28508624351194,-402.87702148904737,1685.3174490867889,103.8207199999999,265.386516
1,37,-838.3948976950236,68.3876897300878,2321.684449086789,280.548,6.9949200000000005,21.934421920906907,-299.3926830281501,1685.3174490867889,102.3634899999999,265.70113699999996
1,38,-559.9350296424597,34.22217805312265,2321.684449086789,280.548,4.66328,14.261363392149118,-197.31718029711118,1685.3174490867889,100.9062599999999,266.015758
1,39,-280.31572900787364,11.413692425508222,2321.684449086789,280.548,2.33164,7.250183324991706,-96.65479079013838,1685.3174490867889,99.44902999999991,266.330379
1,40,0.0,-0.0,2321.684449086789,280.548,0.0,0.885128082937076,2.59033825762122,1685.3174490867889,97.99179999999991,266.645
1,41,280.54799999999926,-2.2007138907375416e-13,2321.684449086789,280.548,-2.33164,-4.84958131835349,100.41419002866283,1685.3174490867889,96.53456999999992,266.95962099999997
1,42,560.8637290078734,11.413692425508094,2321.684449086789,280.548,-4.66328,-9.969748253709126,196.8128782751271,1685.3174490867889,95.07733999999992,267.27424199999996
1,43,840.4830296424599,34.22217805312265,2321.684449086789,280.548,-6.9949200000000005,-14.491199530199125,291.7826474642219,1685.3174490867889,93.62010999999993,267.588863
1,44,1118.9428976950232,68.3876897300878,2321.684449086789,280.548,-9.64323,-18.42978442803024,385.31987291705775,1685.3174490867889,92.16287999999993,267.903484
1,45,1395.5267343780017,115.38302555954675,2321.684449086789,280.548,-12.291540000000001,-21.801373740632094,477.4210609408912,1685.3174490867889,90.70564999999993,268.218105
1,46,1669.6437378357166,175.10780031310264,2321.684449086789,280.548,-14.93985,-24.62185881397504,568.08284895477,1685.3174490867889,89.24841999999994,268.532726
1,47,1940.7083755357628,247.4344378164669,2321.684449086789,280.548,-17.588160000000002,-26.907150585165468,657.3020056085792,1685.3174490867889,87.79118999999994,268.847347
1,48,2208.1416350062523,332.2084434608272,2321.684449086789,280.548,-20.23647,-28.673178620359074,745.0754308954793,1685.3174490867889,86.33395999999995,270.330407
1,49,2471.3722606457727,429.2487342138249,2321.684449086789,280.548,-22.88478,-28.175320194065723,831.4079553938916,1685.3174490867889,84.87672999999995,271.813467
1,50,2729.8379739641427,538.3480254252074,2321.684449086789,280.548,-25.53309,-25.489337871637172,916.24217487198,1685.3174490867889,83.41949999999996,273.29652699999997
1,51,2982.986674647444,659.2732736009164,2321.684449086789,280.548,-25.53309,-20.692423645663776,999.5236409623328,1685.3174490867889,83.41949999999996,273.29652699999997
2,0,-5308.650440000004,-0.0,538.8343434403724,145.52,0.0,2506.090364981827,1300.967242782691,398.9033434403724,70.9398,141.190995
2,1,-5163.130440000004,-0.0,538.8343434403724,144.86339800000002,0.0,2450.811272549236,1256.5074051326383,398.9033434403724,70.9398,141.872063
2,2,-5018.267042000004,-0.0,538.8343434403724,144.20679600000003,0.0,2395.0076092141026,1212.7077888966587,398.9033434403724,70.9398,142.55313099999998
2,3,-4874.060246000004,-0.0,538.8343434403724,143.55019400000003,0.0,2338.6872598236387,1169.574582795372,398.9033434403724,70.9398,143.234199
2,4,-4730.510052000004,-0.0,538.8343434403724,142.89359200000004,0.0,2281.8581822308474,1127.113881388159,398.9033434403724,70.9398,143.915267
2,5,-4587.616460000004,-0.0,538.8343434403724,142.23699000000005,0.0,2224.528406170108,1085.3316842120228,398.9033434403724,70.9398,144.59633499999998
2,6,-4445.3794700000035,-0.0,538.8343434403724,141.58038800000006,0.0,2166.706032122607,1044.2338949338773,398.9033434403724,70.9398,145.277403
2,7,-4303.799082000003,-0.0,538.8343434403724,140.92378600000006,0.0,2108.3992301717662,1003.8263205163813,398.9033434403724,70.9398,145.95847099999997
2,8,-4162.875296000004,-0.0,538.8343434403724,140.26718400000007,0.0,2049.616238848847,964.114670397436,398.9033434403724,70.9398,146.63953899999998
2,9,-4022.6081120000035,-0.0,538.8343434403724,139.61058200000008,0.0,1990.3653639688698,925.1045556834631,398.9033434403724,70.9398,147.320607
2,10,-3882.9975300000033,-0.0,538.8343434403724,138.9539800000001,0.0,1930.6549774570408,886.8014883565776,398.9033434403724,70.9398,148.00167499999998
2,11,-3744.0435500000035,-0.0,538.8343434403724,138.2973780000001,0.0,1870.493516165824,849.2108804957635,398.9033434403724,70.9398,148.682743
2,12,-3605.7461720000033,-0.0,538.8343434403724,137.6407760000001,0.0,1809.889480682852,812.3380435121704,398.9033434403724,70.9398,149.363811
2,13,-3468.105396000003,-0.0,538.8343434403724,136.9841740000001,0.0,1748.8514341298192,776.188187398628,398.9033434403724,70.9398,150.04487899999998
2,14,-3331.121222000003,-0.0,538.8343434403724,136.32757200000012,0.0,1687.3880009525494,740.766419993496,398.9033434403724,70.9398,150.725947
2,15,-3194.793650000003,-0.0,538.8343434403724,135.67097000000012,0.0,1625.5078657023914,706.0777462589444,398.9033434403724,70.9398,151.40701499999997
2,16,-3059.1226800000027,-0.0,538.8343434403724,135.01436800000013,0.0,1563.219771809126,672.1270675737726,398.9033434403724,70.9398,152.08808299999998
